timestamp,username,ip_address,status
2025-09-20 12:00:00,charlie,192.168.0.161,SUCCESS
2025-09-20 12:01:00,eve,192.168.0.126,FAILURE
2025-09-20 12:02:00,bob,192.168.0.224,SUCCESS
2025-09-20 12:03:00,eve,192.168.0.114,SUCCESS
2025-09-20 12:04:00,alice,192.168.0.147,SUCCESS
2025-09-20 12:05:00,eve,192.168.0.250,SUCCESS
2025-09-20 12:06:00,bob,192.168.0.248,SUCCESS
2025-09-20 12:07:00,eve,192.168.0.117,FAILURE
2025-09-20 12:08:00,alice,192.168.0.19,FAILURE
2025-09-20 12:09:00,alice,192.168.0.146,FAILURE
2025-09-20 12:10:00,charlie,192.168.0.166,SUCCESS
2025-09-20 12:11:00,eve,192.168.0.135,SUCCESS
2025-09-20 12:12:00,dave,192.168.0.50,FAILURE
2025-09-20 12:13:00,charlie,192.168.0.67,FAILURE
2025-09-20 12:14:00,dave,192.168.0.132,SUCCESS
2025-09-20 12:15:00,alice,192.168.0.145,SUCCESS
2025-09-20 12:16:00,dave,192.168.0.200,SUCCESS
2025-09-20 12:17:00,bob,192.168.0.88,SUCCESS
2025-09-20 12:18:00,eve,192.168.0.22,FAILURE
2025-09-20 12:19:00,bob,192.168.0.161,SUCCESS
